feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,target
0.23,0.56,0.78,0.12,0.45,0.89,0.34,0.67,0.21,0.78,0
0.45,0.67,0.23,0.89,0.12,0.34,0.56,0.78,0.90,0.11,1
0.67,0.23,0.45,0.78,0.90,0.12,0.34,0.56,0.11,0.89,0
0.89,0.45,0.67,0.34,0.56,0.78,0.90,0.12,0.23,0.45,1
0.12,0.78,0.89,0.56,0.23,0.45,0.67,0.34,0.78,0.90,0
0.34,0.90,0.12,0.67,0.78,0.56,0.23,0.45,0.89,0.67,1
0.56,0.12,0.34,0.23,0.45,0.67,0.78,0.89,0.56,0.34,0
0.78,0.34,0.56,0.45,0.67,0.23,0.12,0.90,0.34,0.12,1
0.90,0.56,0.78,0.67,0.89,0.90,0.45,0.23,0.12,0.56,0
0.11,0.78,0.90,0.89,0.12,0.34,0.67,0.45,0.78,0.23,1
0.33,0.90,0.11,0.12,0.34,0.56,0.89,0.67,0.45,0.78,0
0.55,0.11,0.33,0.34,0.56,0.78,0.12,0.89,0.67,0.45,1
0.77,0.33,0.55,0.56,0.78,0.90,0.34,0.12,0.89,0.67,0
0.99,0.55,0.77,0.78,0.90,0.11,0.56,0.34,0.12,0.89,1
0.22,0.77,0.99,0.90,0.11,0.33,0.78,0.56,0.34,0.12,0
0.44,0.99,0.22,0.11,0.33,0.55,0.90,0.78,0.56,0.34,1
0.66,0.22,0.44,0.33,0.55,0.77,0.11,0.90,0.78,0.56,0
0.88,0.44,0.66,0.55,0.77,0.99,0.33,0.11,0.90,0.78,1
0.10,0.66,0.88,0.77,0.99,0.22,0.55,0.33,0.11,0.90,0
0.32,0.88,0.10,0.99,0.22,0.44,0.77,0.55,0.33,0.11,1
